output,parameter,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi
l_high,alpha,0.0206146486865814,-0.184974117356768,0.23565960673051,0.31020190976305,0.189025678422639,0.437104032076988
l_high,beta,-0.0945054803439134,-0.435075670414014,0.223475094514992,0.457183090099436,0.327050225290969,0.589777654491401
l_high,s,0.32069555584034,-0.0144327950603129,0.602432688866052,0.520038349687551,0.391655845555449,0.700556116343512
l_high,u_crit,0.422003764578737,0.10555128512048,0.739590863401816,0.49014118000873,0.379375830199121,0.622752719103204
l_high,C_max,0,0,0,0,0,0
L_fold_high,alpha,-0.0242513826811394,-0.0881491410261885,0.0317251914483858,0.0713990237080088,0.0377911468096019,0.112339415914966
L_fold_high,beta,0.0257122385858035,-0.0470635569355457,0.0999440499987978,0.0982195083961477,0.0641597943256374,0.130022386577861
L_fold_high,s,0.0488559253457971,-0.049973172445354,0.147719012969193,0.157990509534522,0.10834026528267,0.220243590161759
L_fold_high,u_crit,0.115178950375664,0.0176826411747423,0.183988183865246,0.120564589122483,0.0988081531863885,0.145247526181009
L_fold_high,C_max,0.707462289913319,0.502730924927943,0.897107044002432,0.745588434199195,0.692585260646007,0.805774611703702
window_width,alpha,-0.0141745148894473,-0.255881610560271,0.207272738698141,0.273891097125408,0.176452531423735,0.401219401827487
window_width,beta,0.207326433048343,-0.111986417643003,0.545941145755642,0.650512341223882,0.495276551281698,0.812234660316083
window_width,s,0.151042366246246,-0.197996923253641,0.444991665065566,0.522459736673441,0.400778219968452,0.676547005720323
window_width,u_crit,0.40223504990533,0.129144343331231,0.732009696209936,0.443759876729044,0.379986582694046,0.53907401747014
window_width,C_max,0,0,0,0,0,0
